Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,Winer,Eric P,Winer E,Eric P Winer,Boston,USA,Chief,Division of Women’s Cancers,Dana-Farber Cancer Institute,(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-2,,,,39th Annual San Antonio Breast Cancer Symposium,2016,General Session,Whole exome and transcriptome sequencing of resistant ER+ metastatic breast cancer,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Winer,Eric P,Winer E,Eric P Winer,Boston,USA,Chief,Division of Women’s Cancers,Dana-Farber Cancer Institute,(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-1,,,,39th Annual San Antonio Breast Cancer Symposium,2016,Mentoring Roundtables,Balancing Research and Clinical Practice 2,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Winer,Eric P,Winer E,Eric P Winer,Boston,USA,Chief,Division of Women’s Cancers,Dana-Farber Cancer Institute,(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-2,,,,39th Annual San Antonio Breast Cancer Symposium,2016,General Session,"The Long and Winding Road: Glancing Back, But Moving Forward",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Winer,Eric P,Winer E,Eric P Winer,Boston,USA,Chief,Division of Women’s Cancers,Dana-Farber Cancer Institute,(Blank),(Blank),https://www.nccn.org/professionals/meetings/21stannual/media.aspx#agenda,,,,35th CTRC-AACR San Antonio Breast Cancer Symposium,2012,Career Development Forum,Balancing Research and Clinical Practice II,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Winer,Eric P,Winer E,Eric P Winer,Boston,USA,Chief,Division of Women’s Cancers,Dana-Farber Cancer Institute,(Blank),(Blank),https://www.nccn.org/professionals/meetings/21stannual/media.aspx#agenda,,,,35th CTRC-AACR San Antonio Breast Cancer Symposium,2012,Educational Session,Her2-Positive Breast Cancer,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Winer,Eric P,Winer E,Eric P Winer,Boston,USA,Chief,Division of Women’s Cancers,Dana-Farber Cancer Institute,(Blank),(Blank),http://www.aacr.org/Documents/SABCS2012_program.pdf,,,,35th CTRC-AACR San Antonio Breast Cancer Symposium,2012,Program,Case Discussion,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Winer,Eric P,Winer E,Eric P Winer,Boston,USA,Chief,Division of Women’s Cancers,Dana-Farber Cancer Institute,(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/8740/1287?media=sl,,,,2015 Breast Cancer Symposium,2015,General Session,Medical Oncology,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Winkler,James D,Winkler J,James D Winkler,New Haven,USA,(Blank),(Blank),Arvinas,(Blank),(Blank),http://www.aacr.org/Meetings/Pages/Program-Detail.aspx?EventItemID=52&DetailItemID=331&Day=11072015#.WQRfaml97IU,,,,2015 AACR-NCI-EORTC International Conference on Molecular Targets and Cancer Therapeutics,2015,Concurrent Session,ARV-330: An androgen receptor PROTAC degrader for prostate cancer*,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wisinski,Kari,Wisinski K,Kari Wisinski,(Blank),USA,(Blank),(Blank),University of Wisconsin,(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-1,,,,39th Annual San Antonio Breast Cancer Symposium,2016,Mentoring Roundtables,"Balancing Research and Clinical Practice 3
",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wistuba,Ignacio Ivan,Wistuba I,Ignacio Ivan Wistuba,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9176/5676?media=sl,,,,2016 ASCO Annual Meeting,2016,Education Session,"Tissue Biopsies and Genomic Testing in Cancer: When, How, and Why?",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Witt,Hendrik,Witt H,Hendrik Witt,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9219/5676?media=sl,,,,2016 ASCO Annual Meeting,2016,Education Session,Ependymoma: Treatment Approaches for a Compendium of Molecularly Distinct Diseases,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wolchok,Jedd D,Wolchok J,Jedd D Wolchok,New York,USA,(Blank),(Blank),"Ludwig Center for Cancer Immunotherapy, Memorial Sloan Kettering Cancer Center",(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9321/5491?media=sl,,,,2016 ASCO Annual Meeting,2016,Clinical Science Symposium,Perils and Promise of Combination Therapy,Discussant,,,,,,,,,,,,,,,,,,,,,,,,
,Wolchok,Jedd D,Wolchok J,Jedd D Wolchok,New York,USA,(Blank),(Blank),"Ludwig Center for Cancer Immunotherapy, Memorial Sloan Kettering Cancer Center",(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7364/5491?media=sl,,,,2015 ASCO Annual Meeting,2015,Plenary Session,Efficacy and safety results from a phase III trial of nivolumab (NIVO) alone or combined with ipilimumab (IPI) versus IPI alone in treatment-naive patients (pts) with advanced melanoma (MEL) (CheckMate 067).,Presenter,,,,,,,,,,,,,,,,,,,,,,,,
,Wolff,Antonio Carlos,Wolff A,Antonio Carlos Wolff,Baltimore,USA,(Blank),(Blank),Sidney Kimmel Comprehensive Cancer Center,(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-1,,,,39th Annual San Antonio Breast Cancer Symposium,2016,Mentoring Roundtables,"Publication Strategies: Quality vs. Quantity
",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wolff,Antonio Carlos,Wolff A,Antonio Carlos Wolff,Baltimore,USA,(Blank),(Blank),Sidney Kimmel Comprehensive Cancer Center,(Blank),(Blank),https://www.nccn.org/professionals/meetings/21stannual/media.aspx#agenda,,,,35th CTRC-AACR San Antonio Breast Cancer Symposium,2012,Educational Session,The practical use of molecular profiling: The view of a medical oncologist,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wolff,Antonio Carlos,Wolff A,Antonio Carlos Wolff,Baltimore,USA,(Blank),(Blank),Sidney Kimmel Comprehensive Cancer Center,(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7463/1319?media=sl,,,,2015 ASCO Annual Meeting,2015,Special Session,Effecting Large Scale System Changes: The ASCO/CAP Collaboration,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wolff,Robert A,Wolff R,Robert A Wolff,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9193/1327?media=sl,,,,2016 ASCO Annual Meeting,2016,Education Session,"Practical Tips to Engage Your Trainees, Advanced-Practice Providers, and Patients",Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Wolff,Robert A,Wolff R,Robert A Wolff,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9193/1327?media=sl,,,,2016 ASCO Annual Meeting,2016,Education Session,Case: Motivating a Diverse Group of Trainees When Research and Patient-Centered Care Collide,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Wolmark,Norman,Wolmark N,Norman Wolmark,Philadelphia,USA,(Blank),(Blank),University of Texas MD Anderson Cancer,(Blank),(Blank),http://www.gotoper.com/conferences/chemo/meetings/33rd-annual-chemotherapy-foundation-symposium-innovative-cancer-therapy-for-tomorrow/agenda,,,,33rd Annual CFS™ Chemotherapy Foundation Symposium,2015,Program,Much Ado About DCIS,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wolmark,Norman,Wolmark N,Norman Wolmark,Philadelphia,USA,(Blank),(Blank),University of Texas MD Anderson Cancer,(Blank),(Blank),http://www.gotoper.com/conferences/mbcc/meetings/34th-Annual-Miami-Breast-Cancer-Conference/agenda#d2,,,,34th Annual Miami Breast Cancer Conference,2017,General Session,The Contribution of NSABP Clinical Trials to the Management of Early Breast Cancer,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wolmark,Norman,Wolmark N,Norman Wolmark,Philadelphia,USA,(Blank),(Blank),University of Texas MD Anderson Cancer,(Blank),(Blank),http://www.gotoper.com/conferences/mbcc/meetings/32nd-Annual-Miami-Breast-Cancer-Conference/agenda,,,,32nd Annual Miami Breast Cancer Conference,2015,General Session,Appropriateness of Tamoxifen for 10 Years in Premenopausal Women: The ATLAS/aTTom Trials ,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wolmark,Norman,Wolmark N,Norman Wolmark,Philadelphia,USA,(Blank),(Blank),University of Texas MD Anderson Cancer,(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/8742/1287?media=sl,,,,2015 Breast Cancer Symposium,2015,General Session,General Session 2: Ongoing Clinical Trials and Future Research Directions,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Wolpin,Brian M,Wolpin B,Brian M Wolpin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9184/5701?media=sl,,,,2016 ASCO Annual Meeting,2016,Clinical Science Symposium,Expect the Unexpected: Challenges in the Interpretation of Multiplex Panels,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Wolpin,Brian M,Wolpin B,Brian M Wolpin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7387/5666?media=sl,,,,2015 ASCO Annual Meeting,2015,Clinical Science Symposium,A Tale of Two Genomes: Interpreting Somatic and Germ-Line Sequencing Results Together,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Won,Shizhen Emily,Won S,Shizhen Emily Won,(Blank),USA,(Blank),(Blank),"Young Survival Coalition
",(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-3,,,,39th Annual San Antonio Breast Cancer Symposium,2016,Basic Science Forum,"A role of extracellular miRNA in breast cancer metastasis
",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wong,Jan,Wong J,Jan Wong,(Blank),USA,(Blank),(Blank),Anne Arundel Medical Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2015/2015_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2015,General Session,How I Do It” Videos,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Wong,Jan H,Wong J,Jan H Wong,Greenville,USA,(Blank),(Blank),Mayo Clinic,(Blank),(Blank),https://www.breastsurgeons.org/docs2017/2017_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2017,General Session,Quickshot Presentations,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Wong,Jennifer L,Wong J,Jennifer L Wong,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://www.gotoper.com/conferences/chemo/meetings/34th-annual-chemotherapy-foundation-symposium-innovative-cancer-therapy-for-tomorrow/agenda,,,,34th Annual CFS™ Chemotherapy Foundation Symposium,2016,Program,CancerLinQ and Big Data,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wong,Ralph,Wong R,Ralph Wong,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9121/1319?media=sl,,,,2016 ASCO Annual Meeting,2016,Education Session,"The Great White North - Different Challenges, Different Perspectives, Different Solutions",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wood,Marie,Wood M,Marie Wood,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9332/5506?media=sl,,,,2016 ASCO Annual Meeting,2016,Pre-Annual Meeting Seminar,Hypermutation and Immunotherapy,Panelist,,,,,,,,,,,,,,,,,,,,,,,,
,Wright,Ellie,Wright E,Ellie Wright,(Blank),USA,(Blank),(Blank),University of Tennessee Medical Center,(Blank),(Blank),http://breastcancer.conferenceseries.com/america/scientific-program,,,,2nd World Congress on Breast Cancer,2016,Program,Biochemical effects of pomegranate on cancer,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wright,Ellie,Wright E,Ellie Wright,(Blank),USA,(Blank),(Blank),University of Tennessee Medical Center,(Blank),(Blank),http://breastcancer.conferenceseries.com/america/2016/scientific-program.php?day=1&sid=2202&date=2016-09-19,,,,2nd World Congress on Breast Cancer,2016,Program,Punica grantum role in breast cancer prevention and suppression,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Wu,Catherine J,Wu C,Catherine J Wu,Boston,USA,(Blank),(Blank),Dana-Farber Cancer Institute,(Blank),(Blank),http://www.aacr.org/Meetings/Pages/Program-Detail.aspx?EventItemID=52&DetailItemID=331&Day=11062015#.WQRfaWl97IU,,,,2015 AACR-NCI-EORTC International Conference on Molecular Targets and Cancer Therapeutics,2015,Concurrent Session,Developing personalized neoantigen-based cancer vaccines,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yabroff,K Robin,Yabroff K,K Robin Yabroff,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9445/5661?media=sl,,,,2016 ASCO Annual Meeting,2016,Pre-Annual Meeting Seminar,"Innovative Cancer Treatment Models: Theory, Evidence, and Practice",Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Yang,Jun,Yang J,Jun Yang,(Blank),USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),http://breastcancer.conferenceseries.com/america/scientific-program,,,,3rd World Congress on Women’s Health & Breast Cancer,2016,Keynote Forum,"Hypoxia, epigenetics and estrogen receptor in breast cancer",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yao,Katherine A,Yao K,Katherine A Yao,Evanston,USA,(Blank),(Blank),Mayo Clinic,(Blank),(Blank),https://www.breastsurgeons.org/docs2016/2016_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2016,General Session,Patients with a positive SLN should not have an ALND and should have axillary radiation,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yao,Katherine A,Yao K,Katherine A Yao,Evanston,USA,(Blank),(Blank),Mayo Clinic,(Blank),(Blank),https://www.breastsurgeons.org/docs2017/2017_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2017,Sunrise Workshops,Contralateral Prophylactic Mastectomy Considerations,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yee,Douglas,Yee D,Douglas Yee,Minneapolis,USA,(Blank),(Blank),"Masonic Cancer Center, University of Minnesota",(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-1,,,,39th Annual San Antonio Breast Cancer Symposium,2016,Mentoring Roundtables,Balancing Research and Clinical Practice 2,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yee,Douglas,Yee D,Douglas Yee,Minneapolis,USA,(Blank),(Blank),"Masonic Cancer Center, University of Minnesota",(Blank),(Blank),http://www.gotoper.com/conferences/ibc/meetings/14th-Annual-International-Congress-on-the-Future-of-Breast-Cancer/agenda,,,,14th Annual International Congress on the Future of Breast Cancer,2015,Morning Session,Neo/Adjuvant HER2-Directed Therapy Management,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yen,Yun,Yen Y,Yun Yen,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7463/1319?media=sl,,,,2015 ASCO Annual Meeting,2015,Special Session,Global Oncology Symposium,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Yen,Yun,Yen Y,Yun Yen,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7463/1319?media=sl,,,,2015 ASCO Annual Meeting,2015,Special Session,Welcome and Introductions,Co-Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Young,Zachary T,Young Z,Zachary T Young,Little Rock,USA,(Blank),(Blank),Columbia University College of Physicians & Surgeons,(Blank),(Blank),https://www.breastsurgeons.org/docs2015/2015_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2015,General Session,Double-Donut Technique for Reduction Mammoplasty,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Youngblood,Ben,Youngblood B,Ben Youngblood,Memphis,USA,(Blank),(Blank),MedStar Georgetown University Hospital,(Blank),(Blank),http://madridge.com/conferences-cms/pdfs/33_program.pdf,,,,2nd International Cancer Study & Therapy Conference,2017,Program,T cell exhaustion is reinforced by progressive De novo DNA methylation programming,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Dihua,Yu D,Dihua Yu,(Blank),USA,(Blank),(Blank),"Baylor College of Medicine
",(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-3,,,,39th Annual San Antonio Breast Cancer Symposium,2016,Basic Science Forum,"PTEN loss by exosomal microRNA primes brain metastasis outgrowth
",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Jennifer,Yu J,Jennifer Yu,St. Louis,USA,(Blank),(Blank),Duke University Medical Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2017/2017_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2017,General Session,Association of Annual Mammography Screening with Healthcare Costs Following Breast Cancer Diagnosis,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/8750/1287?media=sl,,,,2015 Breast Cancer Symposium,2015,General Session,Introduction,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9312/5491?media=sl,,,,2016 ASCO Annual Meeting,2016,Plenary Session,Presentation of the 2016 Science of Oncology Award,Participant,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9333/5491?media=sl,,,,2016 ASCO Annual Meeting,2016,Opening Session,"Presentation of the Fellows of the American Society of Clinical Oncology (FASCO) and Presentation of the Humanitarian Award to Quyen Chu, MD, MBA, FACS",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9333/5491?media=sl,,,,2016 ASCO Annual Meeting,2016,Opening Session,Presentation of the 2016 David A. Karnofsky Memorial Award,Participant,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7364/5491?media=sl,,,,2015 ASCO Annual Meeting,2015,Plenary Session,Plenary Session Including the Science of Oncology Award and Lecture,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7364/5491?media=sl,,,,2015 ASCO Annual Meeting,2015,Plenary Session,Welcome and Introductions,Co-Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7365/5491?media=sl,,,,2015 ASCO Annual Meeting,2015,Special Session,Presidential Address: Illumination and Innovation Transforming Data into Learning,Participant,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7487/5491?media=sl,,,,2015 ASCO Annual Meeting,2015,Special Session,ASCO/European Society for Medical Oncology (ESMO) Joint Session: Global Perspective on Value,Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Yu,Peter Paul,Yu P,Peter Paul Yu,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7487/5491?media=sl,,,,2015 ASCO Annual Meeting,2015,Special Session,Welcome and Introductions,Co-Chair,,,,,,,,,,,,,,,,,,,,,,,,
,Zafar,Yousuf,Zafar Y,Yousuf Zafar,Durham,USA,(Blank),(Blank),Duke Cancer Institute,(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9164/1323?media=sl,,,,2016 ASCO Annual Meeting,2016,Education Session,The Finances of Cancer Care: Patient Experiences and Attitudes,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zafar,Yousuf,Zafar Y,Yousuf Zafar,Durham,USA,(Blank),(Blank),Duke Cancer Institute,(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7443/5671?media=sl,,,,2015 ASCO Annual Meeting,2015,Clinical Science Symposium,Going for Broke: Cancer and Personal Finances,Discussant,,,,,,,,,,,,,,,,,,,,,,,,
,Zannis,Victor J,Zannis V,Victor J Zannis,Phoenix,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2016/2016_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2016,General Session,Tumor Board,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Zannis,Victor J,Zannis V,Victor J Zannis,Phoenix,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2015/2015_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2015,Pre-Meeting Course,Stereotactic Breast Biopsy: An Introductory Course,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Zannis,Victor J,Zannis V,Victor J Zannis,Phoenix,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2015/2015_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2015,General Session,Community Tumor Board,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Zannis,Victor J,Zannis V,Victor J Zannis,Phoenix,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2015/2015_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2015,General Session,Welcome and Introduction,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zannis,Victor J,Zannis V,Victor J Zannis,Phoenix,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2017/2017_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2017,Pre-meeting course,Stereotactic Breast Biopsy: An Introductory Course,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Zannis,Victor J,Zannis V,Victor J Zannis,Phoenix,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2017/2017_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2017,General Session,Nipple Sparing Mastectomy with Simultaneous Mastopexy for Direct to Implant Breast Reconstruction,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zannis,Victor J,Zannis V,Victor J Zannis,Phoenix,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.breastsurgeons.org/docs2017/2017_ASBrSFinalProgram.pdf,,,,American Society of Breast Surgeons Annual Meeting,2017,General Session,Ask the Breast Experts,Moderator,,,,,,,,,,,,,,,,,,,,,,,,
,Zarka,Matthew,Zarka M,Matthew Zarka,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/7463/1319?media=sl,,,,2015 ASCO Annual Meeting,2015,Special Session,Pathology Challenges in Limited Resource Settings,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zee,Kimberly Van,Zee K,Kimberly Van Zee,New York City,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://s3.amazonaws.com/gotoper-com/_media/_pdf/MBC16_brochure_v2.pdf,,,,33rd Annual Miami Breast Cancer Conference,2016,Mini-Symposium,Predicting Outcome in DCIS: MSKCC Nomogram,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zee,Kimberly Van,Zee K,Kimberly Van Zee,New York City,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://s3.amazonaws.com/gotoper-com/_media/_pdf/MBC16_brochure_v2.pdf,,,,33rd Annual Miami Breast Cancer Conference,2016,General Session,What Is the Current Definition of Clear Margin in DCIS?,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zee,Kimberly Van,Zee K,Kimberly Van Zee,New York City,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://s3.amazonaws.com/gotoper-com/_media/_pdf/MBC16_brochure_v2.pdf,,,,33rd Annual Miami Breast Cancer Conference,2016,General Session,How Does Age Impact Outcome in DCIS?,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zehir,Ahmet,Zehir A,Ahmet Zehir,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://meetinglibrary.asco.org/presentationBySession/9184/5701?media=sl,,,,2016 ASCO Annual Meeting,2016,Clinical Science Symposium,Prevalence of Clonal Hematopoiesis in Patients with Advanced Cancer,Presenter,,,,,,,,,,,,,,,,,,,,,,,,
,Zelenetz,Andrew D,Zelenetz A,Andrew D Zelenetz,(Blank),USA,(Blank),(Blank),"Roswell Park Cancer Institute

",(Blank),(Blank),https://www.nccn.org/professionals/meetings/21stannual/media.aspx#agenda,,,,21st National Comprehensive Cancer Network Annual Conference,2016,Program,Role of Biosimilars,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zhang,Hong (Amy),Zhang H,Hong (Amy) Zhang,(Blank),USA,(Blank),(Blank),University of Texas,(Blank),(Blank),http://breastcancer.conferenceseries.com/america/scientific-program,,,,2nd World Congress on Breast Cancer,2016,Program,A novel oncogene that is amplified and over-expressed in breast cancer,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zhang,Hong (Amy),Zhang H,Hong (Amy) Zhang,(Blank),USA,(Blank),(Blank),University of Texas,(Blank),(Blank),http://breastcancer.conferenceseries.com/america/2016/scientific-program.php?day=1&sid=2202&date=2016-09-19,,,,2nd World Congress on Breast Cancer,2016,Program,FOXK2: A novel oncogene that is amplified and over-expressed in breast cancer,Speaker,,,,,,,,,,,,,,,,,,,,,,,,
,Zhang,Xiang (Shawn),Zhang X,Xiang (Shawn) Zhang,Houston,USA,(Blank),(Blank),"University of Washington
",(Blank),(Blank),https://www.sabcs.org/Program/Daily-Schedule/Day-1,,,,39th Annual San Antonio Breast Cancer Symposium,2016,Mentoring Roundtables,"Making the Transition from Fellowship to Faculty
",Speaker,,,,,,,,,,,,,,,,,,,,,,,,
